net,length_um
clknet_leaf_120_clk,58.82
net56,58.76
_1920_,58.44
clknet_leaf_85_clk,58.44
_2676_,58.4
_1424_,58.32
clknet_leaf_93_clk,57.86
_1404_,57.44
_1888_,57.38
_2362_,57.34
_1305_,57.2
_2134_,57.02
_1149_,56.9
net47,56.78
_2579_,56.76
_1223_,56.68
_1957_,56.54
_1239_,56.28
_2283_,56.2
_2404_,56.02
_2745_,55.69
clknet_leaf_75_clk,55.6
_2154_,55.53
_1497_,55.4
_2185_,55.38
_1919_,55.3
clknet_leaf_9_clk,55.26
_2459_,55.19
clknet_leaf_108_clk,55.11
_2244_,54.935
_1831_,54.92
_1408_,54.8
_1786_,54.54
_2327_,54.5
_2728_,54.4
_1740_,54.34
_1318_,54.18
clknet_leaf_58_clk,54.12
_2000_,54.06
clknet_leaf_26_clk,54.02
net176,53.88
_2187_,53.82
_2488_,53.72
clknet_leaf_79_clk,53.72
_2040_,53.68
_1737_,53.545
_2256_,53.515
_1559_,53.5
_1940_,53.42
_2241_,53.385
_2356_,53.32
clknet_leaf_63_clk,53.32
_1811_,53.28
_1949_,53.28
clknet_leaf_40_clk,53.12
_1314_,52.78
_1657_,52.72
_1212_,52.66
clknet_leaf_3_clk,52.58
clknet_leaf_7_clk,52.58
_2383_,52.44
clknet_leaf_52_clk,52.44
_2257_,52.35
_1258_,52.32
_2592_,52.24
net68,51.54
_2242_,51.525
clknet_leaf_2_clk,51.46
_1186_,51.44
_1267_,51.38
_2007_,51.34
_2797_,51.205
_2237_,51.1
clknet_leaf_87_clk,51.04
_1981_,50.92
_2025_,50.91
clknet_leaf_1_clk,50.7
_2245_,50.66
_1373_,50.64
clknet_leaf_106_clk,50.52
_1960_,50.16
_2641_,50.16
_2382_,50.1
_1160_,49.9
_2354_,49.76
_1577_,49.7
_2373_,49.58
_2205_,49.38
_1644_,48.96
_1600_,48.88
_1452_,48.86
_2667_,48.72
_2656_,48.54
_1415_,48.34
_2682_,48.32
_2234_,48.28
_2742_,48.24
_1622_,48.06
net48,47.9
_1874_,47.845
_2376_,47.77
_2507_,47.74
_1873_,47.72
_1461_,47.7
clknet_leaf_81_clk,47.64
_1849_,47.6
_2672_,47.56
_2418_,47.5
_2183_,47.48
_1701_,47.17
_1961_,47.025
_2068_,46.905
_1365_,46.84
clknet_leaf_8_clk,46.68
_2692_,46.56
_2111_,46.43
_2195_,46.33
regfile_inst.registers\[24\]\[28\],46.32
_1269_,45.9
_1172_,45.86
_1782_,45.745
_1514_,45.72
_1262_,45.6
_2325_,45.53
_2086_,45.52
_2049_,45.26
clknet_leaf_70_clk,45.22
clknet_leaf_50_clk,45.18
_1195_,45.14
_1762_,45.03
_1095_,45.02
_1772_,45.02
_2771_,44.94
_2206_,44.925
_1840_,44.92
_2792_,44.88
_2238_,44.685
_1799_,44.66
_1525_,44.56
_1780_,44.56
_1932_,44.38
_1257_,44.34
_2319_,44.32
clknet_leaf_110_clk,44.12
_2235_,43.92
_1528_,43.9
_1917_,43.89
_2016_,43.88
_2003_,43.86
_1936_,43.84
net84,43.68
clknet_leaf_83_clk,43.68
_2715_,43.64
_2190_,43.6
_1290_,43.42
_1744_,43.26
_1038_,43.1
_2575_,43.1
regfile_inst.registers\[23\]\[8\],43.06
_2390_,42.98
_1232_,42.94
_2228_,42.59
_2670_,42.52
_2518_,42.48
_2129_,42.46
_2344_,42.46
clknet_leaf_119_clk,42.44
_1912_,42.3
_2196_,42.085
_1227_,41.92
_1988_,41.92
_1541_,41.7
clknet_leaf_109_clk,41.68
_2218_,41.44
_2449_,41.42
_2385_,41.33
_2434_,41.32
_2756_,41.26
regfile_inst.registers\[24\]\[4\],41.22
_2777_,41.08
_2063_,41.04
_1827_,41.02
_1544_,40.9
_2321_,40.8
_2150_,40.78
net53,40.74
net44,40.58
_1428_,40.54
_2724_,40.54
_1756_,40.52
_1991_,40.42
_2286_,40.345
_2538_,40.28
_1476_,40.24
_1845_,40.24
net69,40.22
_1869_,40.1
_1662_,39.98
regfile_inst.registers\[25\]\[29\],39.92
_1286_,39.76
_1847_,39.72
_2106_,39.44
_1479_,39.42
_1938_,39.42
clknet_leaf_34_clk,39.3
net67,39.22
_1815_,39.185
_1221_,39.18
_1741_,39.18
_2253_,39.165
clknet_leaf_66_clk,39.04
_1532_,38.84
_2019_,38.84
_2405_,38.84
_1130_,38.82
_1586_,38.82
_1218_,38.66
regfile_inst.registers\[15\]\[1\],38.66
_1604_,38.64
_2132_,38.46
_2047_,38.405
_1202_,38.38
_1688_,38.28
_1587_,38.24
_2093_,38.02
regfile_inst.registers\[24\]\[1\],38
_2070_,37.82
_1250_,37.78
regfile_inst.registers\[16\]\[31\],37.755
_2074_,37.72
_2191_,37.7
_2289_,37.66
regfile_inst.registers\[24\]\[3\],37.6
_1904_,37.565
_1637_,37.485
clknet_leaf_71_clk,37.435
_1034_,37.26
_1324_,37.24
_1555_,37.22
_1459_,37.1
_1651_,37.04
_1997_,37.02
_1504_,37
_1753_,37
net206,37
_2175_,36.98
clknet_leaf_61_clk,36.94
_1719_,36.91
_2774_,36.78
_1977_,36.56
_2652_,36.55
net172,36.52
_1371_,36.3
_1389_,36.28
_2287_,36.24
_1264_,36.18
_2334_,36.18
_2011_,36.12
_1449_,36.08
_1435_,36.06
_1355_,36.04
_2230_,36.015
regfile_inst.registers\[8\]\[6\],35.92
_1413_,35.82
_2054_,35.8
net43,35.8
_1771_,35.745
regfile_inst.registers\[16\]\[9\],35.74
_1341_,35.7
_2571_,35.44
clknet_leaf_13_clk,35.44
_1506_,35.42
_2090_,35.39
_2199_,35.38
regfile_inst.registers\[24\]\[6\],35.36
_1892_,35.28
_1976_,35.24
regfile_inst.registers\[13\]\[15\],35.21
_1274_,35.16
regfile_inst.registers\[16\]\[16\],35.16
net207,35.1
_2377_,35.06
regfile_inst.registers\[10\]\[10\],35.055
_1175_,35
_1420_,34.94
_2299_,34.92
regfile_inst.registers\[24\]\[25\],34.9
_1766_,34.88
_1115_,34.82
_1283_,34.58
_2004_,34.505
_1343_,34.46
_2118_,34.42
regfile_inst.registers\[24\]\[23\],34.42
_2345_,34.38
_1147_,34.36
regfile_inst.registers\[22\]\[29\],34.275
_2251_,34.26
_2177_,34.25
_2343_,34.2
regfile_inst.registers\[7\]\[29\],34.16
_1658_,34.1
regfile_inst.registers\[11\]\[0\],33.88
_2709_,33.84
_1388_,33.72
_2161_,33.66
_1810_,33.58
regfile_inst.registers\[25\]\[26\],33.42
regfile_inst.registers\[8\]\[3\],33.42
regfile_inst.registers\[24\]\[21\],33.36
_1248_,33.34
regfile_inst.registers\[4\]\[29\],33.34
_1948_,33.33
_2214_,33.3
_1501_,33.24
_1179_,33.16
_2477_,33
regfile_inst.registers\[7\]\[6\],32.88
_2506_,32.72
_1979_,32.64
_2816_,32.54
_2402_,32.52
_2198_,32.48
_2320_,32.46
_2578_,32.44
_2117_,32.38
_1954_,32.34
_2035_,32.3
_1678_,32.28
_1410_,32.22
_1465_,32.2
_1861_,32.02
regfile_inst.registers\[16\]\[18\],32.01
_2712_,31.98
_1591_,31.92
regfile_inst.registers\[25\]\[12\],31.88
_1584_,31.86
regfile_inst.registers\[4\]\[2\],31.84
net75,31.8
regfile_inst.registers\[15\]\[10\],31.74
regfile_inst.registers\[26\]\[28\],31.695
_1311_,31.66
_2394_,31.64
regfile_inst.registers\[24\]\[8\],31.64
_2050_,31.6
_2725_,31.56
regfile_inst.registers\[20\]\[8\],31.52
regfile_inst.registers\[22\]\[8\],31.39
_1828_,31.365
_1192_,31.2
regfile_inst.registers\[17\]\[26\],31.12
regfile_inst.registers\[12\]\[19\],31.06
regfile_inst.registers\[18\]\[29\],31.05
regfile_inst.registers\[20\]\[29\],31.04
regfile_inst.registers\[15\]\[25\],31
regfile_inst.registers\[28\]\[29\],30.98
regfile_inst.registers\[20\]\[1\],30.84
_2197_,30.8
regfile_inst.registers\[11\]\[6\],30.62
regfile_inst.registers\[10\]\[16\],30.535
regfile_inst.registers\[22\]\[1\],30.495
_1323_,30.48
_1897_,30.465
regfile_inst.registers\[24\]\[30\],30.28
_1522_,30.24
regfile_inst.registers\[5\]\[22\],30.22
_1787_,30.15
regfile_inst.registers\[22\]\[24\],30.15
_2143_,30
_2795_,29.94
regfile_inst.registers\[24\]\[9\],29.8
regfile_inst.registers\[5\]\[0\],29.78
_2520_,29.74
regfile_inst.registers\[25\]\[17\],29.66
regfile_inst.registers\[21\]\[7\],29.64
regfile_inst.registers\[24\]\[31\],29.6
_1432_,29.54
regfile_inst.registers\[25\]\[14\],29.54
regfile_inst.registers\[6\]\[8\],29.525
regfile_inst.registers\[21\]\[9\],29.48
_1242_,29.42
_2060_,29.42
_2126_,29.42
regfile_inst.registers\[17\]\[9\],29.4
regfile_inst.registers\[7\]\[0\],29.34
_2209_,29.33
_2173_,29.26
regfile_inst.registers\[0\]\[29\],29.26
regfile_inst.registers\[14\]\[20\],29.25
regfile_inst.registers\[8\]\[25\],29.22
regfile_inst.registers\[28\]\[19\],29.2
regfile_inst.registers\[8\]\[28\],29.18
_2189_,29.16
regfile_inst.registers\[19\]\[5\],29.16
regfile_inst.registers\[4\]\[9\],29.16
_2031_,29.14
regfile_inst.registers\[18\]\[2\],29.13
_1165_,29.08
_1835_,29.08
_1434_,29.06
regfile_inst.registers\[25\]\[18\],29.06
_1992_,29.04
_2156_,28.98
regfile_inst.registers\[13\]\[12\],28.98
_1913_,28.965
regfile_inst.registers\[21\]\[29\],28.95
_2136_,28.94
